state,abb.,2015PrescriptionRate,2015AlcoholPercentage,2020Election,2010pop,,,,,,,
 Alabama,AL,125,7.3,Trump,"4,779,736",,,,,,,
 Alaska,AK,60.8,7.8,Trump,"710,231",,,,,,,
 Arizona,AZ,75.5,7.1,Biden,"6,392,017",,,,,,,
 Arkansas,AR,117.2,8.3,Trump,"2,915,918",,,,,,,
 California,CA,47.7,6.5,Biden,"37,254,523",,,,,,,
 Colorado,CO,65.1,6.6,Biden,"5,029,196",,,,,,,
 Connecticut,CT,62.3,7,Biden,"3,574,097",,,,,,,
 Delaware,DE,84.4,7,Biden,"897,934",,,,,,,
 Florida,FL,35.7,6.8,Trump,"18,801,310",,,,,,,
 Georgia,GA,67.1,6.9,Biden,"9,687,653",,,,,,,
 Hawaii,HI,79.4,7.6,Biden,"1,360,301",,,,,,,
 Idaho,ID,44.3,7.4,Trump,"1,567,582",,,,,,,
 Illinois,IL,81.9,7.1,Biden,"12,830,632",,,,,,,
 Indiana,IN,59.1,7.2,Trump,"6,483,802",,,,,,,
 Iowa,IA,89.1,7.6,Trump,"3,046,355",,,,,,,
 Kansas,KS,68.6,7,Trump,"2,853,118",,,,,,,
 Kentucky,KY,80.5,7.8,Trump,"4,339,367",,,,,,,
 Louisiana,LA,102.6,7.6,Trump,"4,533,372",,,,,,,
 Maine,ME,100.4,7.4,Biden,"1,328,361",,,,,,,
 Maryland,MD,76.5,6.6,Biden,"5,773,552",,,,,,,
 Massachusetts,MA,63,6.5,Biden,"6,547,629",,,,,,,
 Michigan,MI,54,7.3,Biden,"9,883,640",,,,,,,
 Minnesota,MN,90.5,7.2,Biden,"5,303,925",,,,,,,
Mississippi ,MS,52.1,7.6,Trump,"2,967,297",,,,,,,
 Missouri,MO,110.9,7.8,Trump,"5,988,927",,,,,,,
 Montana,MT,84.5,7.2,Trump,"989,415",,,,,,,
 Nebraska,NE,73.3,7.2,Trump,"1,826,341",,,,,,,
 Nevada,NV,65.5,7.2,Biden,"2,700,551",,,,,,,
 New Hampshire,NH,85.4,6.4,Biden,"1,316,470",,,,,,,
 New Jersey,NJ,74.8,6.9,Biden,"8,791,894",,,,,,,
 New Mexico,NM,56,7.2,Biden,"2,059,179",,,,,,,
 New York,NY,69.8,6.8,Biden,"19,378,102",,,,,,,
 North Carolina,NC,45.1,6.4,Trump,"9,535,483",,,,,,,
 North Dakota,ND,88.4,7.7,Trump,"672,591",,,,,,,
 Ohio,OH,53,7.7,Trump,"11,536,504",,,,,,,
 Oklahoma,OK,82.7,7.5,Trump,"3,751,351",,,,,,,
 Oregon,OR,104.4,6.3,Biden,"3,831,074",,,,,,,
 Pennsylvania,PA,84.2,7,Biden,"12,702,379",,,,,,,
 Rhode Island,RI,75.5,7,Biden,"1,052,567",,,,,,,
 South Carolina,SC,65.7,7.4,Trump,"4,625,364",,,,,,,
 South Dakota,SD,95.1,7.7,Trump,"814,180",,,,,,,
 Tennessee,TN,59.1,7,Trump,"6,346,105",,,,,,,
 Texas,TX,114.9,7.2,Trump,"25,145,561",,,,,,,
 Utah,UT,59.8,7.3,Trump,"2,763,885",,,,,,,
 Vermont,VT,74.4,6.8,Biden,"625,741",,,,,,,
 Virginia,VA,60.1,7.1,Biden,"8,001,024",,,,,,,
 Washington,WA,69.8,6.2,Biden,"6,724,540",,,,,,,
 West Virginia,WV,111.3,7.9,Trump,"1,852,994",,,,,,,
 Wisconsin,WI,67.5,7.2,Biden,"5,686,986",,,,,,,
 Wyoming,WY,75.4,7,Trump,"563,626",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
